Flood Forecast Log Sheet - 2020 (FFWC),,,,,,,,
Date,Observed Water Level Today,Forecast Water Level Next 5 days,"Danger Level
(mPWD)","FbF Danger Level
(mPWD)","Recorded Highest Water Level
(mPWD)",Station & River Name,Notification,Team
11/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
20/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/07/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/07/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
21/07/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/07/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
22/07/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
